,years_of_experience,aerodynamics_score,technological_score,Leader,Leadership_score,distance,route_match,fuel_consumption,engine_temperature,body_weight,sensor_equipped
2474,18,49,8,1,636,699,48,65,48,2333,0
2475,15,42,4,1,523,719,65,129,77,1677,1
2476,13,29,9,0,418,760,2,126,70,3364,1
2477,6,44,1,1,477,850,84,60,64,1260,0
2478,8,40,10,1,510,651,91,79,57,3781,0
2479,7,13,3,0,186,866,5,75,40,2111,1
2480,1,30,8,0,361,924,46,59,39,1896,1
2481,20,37,4,0,498,659,28,55,50,1750,0
2482,7,30,3,0,356,888,47,75,41,1864,0
2483,19,49,8,0,641,973,70,130,38,2908,1
2484,9,21,3,0,276,649,48,129,37,3728,0
2485,15,45,9,1,588,577,99,40,60,3500,0
2486,3,46,2,1,489,908,78,54,62,1421,0
2487,20,18,3,0,301,943,82,132,36,2963,1
2488,2,21,7,0,269,711,41,55,55,3085,0
2489,17,21,1,0,302,847,34,85,63,3129,1
2490,7,25,4,0,313,806,64,51,68,2900,0
2491,3,22,3,0,256,972,15,133,58,3090,1
2492,9,20,3,0,266,965,100,76,62,3960,1
2493,4,34,1,1,367,888,37,88,43,1218,0
2494,0,44,7,1,489,515,84,144,52,2197,1
2495,11,41,8,1,521,915,67,76,70,1586,0
2496,6,36,5,0,425,568,46,61,45,1409,0
2497,14,10,10,0,240,855,8,85,43,2826,0
2498,16,10,2,0,194,692,94,109,41,1740,0
2499,2,23,5,0,275,648,99,34,48,1757,0
2500,3,24,2,0,269,877,92,59,69,2669,0
2501,17,37,5,1,490,552,11,150,43,2241,1
2502,0,49,6,1,532,880,44,45,51,2607,0
2503,5,48,6,1,547,985,10,49,38,3908,0
2504,4,22,2,0,254,948,85,82,67,1805,0
2505,9,26,8,0,361,707,26,146,47,2417,0
2506,10,22,1,0,277,531,42,114,80,3548,0
2507,10,28,3,0,351,726,97,133,37,2768,0
2508,13,43,6,1,537,604,35,140,52,3084,1
2509,3,27,2,0,299,782,36,66,55,3101,0
2510,9,38,10,1,495,719,97,114,59,2588,1
2511,14,20,5,0,305,612,71,42,60,2920,0
2512,20,42,4,1,548,596,83,139,47,3239,1
2513,11,30,7,0,404,614,34,54,70,1976,0
2514,19,11,5,0,240,657,88,44,74,1692,0
2515,0,50,1,1,507,527,9,115,74,1743,1
2516,5,24,4,0,293,840,48,114,53,2314,1
2517,13,45,6,1,557,862,49,138,55,1920,1
2518,11,11,7,0,214,974,40,49,77,1860,0
2519,1,36,3,0,386,875,70,130,60,1474,1
2520,18,39,9,1,543,585,57,119,48,3833,0
2521,1,41,4,0,443,701,47,113,63,3064,1
2522,11,50,1,1,562,987,24,30,66,1711,0
2523,17,47,4,1,583,623,65,48,73,1825,0
2524,2,23,2,0,254,606,50,124,61,1238,0
2525,15,42,7,1,544,616,51,111,53,3254,1
2526,15,16,8,0,291,673,59,125,55,2813,1
2527,7,26,9,0,358,550,29,76,66,1742,0
2528,13,22,2,0,299,1000,58,40,43,3979,0
2529,9,24,1,0,292,507,18,33,38,2133,1
2530,19,46,8,1,611,795,29,93,43,3914,0
2531,5,12,5,0,180,716,76,40,37,1424,1
2532,7,44,9,1,538,515,52,105,38,1865,1
2533,18,12,3,0,231,767,37,142,76,2822,0
2534,15,27,10,0,415,701,4,50,64,2813,0
2535,3,35,3,0,386,816,44,65,64,1525,0
2536,18,17,8,0,316,660,60,42,71,3806,1
2537,6,23,9,0,323,566,40,38,67,3842,0
2538,15,12,4,0,223,694,15,70,48,2093,1
2539,14,31,6,0,422,587,35,128,52,1376,0
2540,0,33,1,1,337,596,73,98,79,3245,1
2541,6,9,9,0,183,819,89,111,49,3518,0
2542,0,32,3,0,341,708,8,46,56,3145,0
2543,19,18,7,0,324,998,65,125,63,2161,1
2544,15,44,5,1,550,759,89,110,48,1489,1
2545,18,22,2,0,324,542,5,137,39,3377,1
2546,15,39,3,1,486,985,38,95,78,2808,1
2547,8,31,8,0,406,736,9,88,59,3737,0
2548,16,11,4,0,218,901,78,49,61,2162,0
2549,7,29,1,0,332,637,19,42,45,1525,0
2550,3,11,2,0,139,661,29,113,62,2532,0
2551,5,47,4,1,523,999,7,128,69,1367,0
2552,20,6,6,0,202,726,51,89,71,3649,0
2553,5,40,4,1,453,647,87,108,48,3798,0
2554,8,23,10,0,340,775,57,95,36,1416,1
2555,19,34,1,0,442,770,70,112,54,2630,1
2556,19,5,5,0,180,920,3,95,79,3395,1
2557,3,11,10,0,195,645,35,42,64,2367,0
2558,17,15,3,0,256,996,90,62,45,2458,1
2559,8,24,3,0,301,510,43,136,80,1956,1
2560,13,44,7,1,554,973,71,113,43,1896,1
2561,15,6,7,0,184,724,18,94,69,1849,0
2562,5,23,8,1,311,835,1,109,54,1608,1
2563,19,5,5,0,180,842,61,79,42,3921,0
2564,6,33,8,0,416,516,87,85,63,1213,0
2565,12,18,2,0,254,555,16,149,56,1506,0
2566,6,40,7,1,479,897,96,131,47,3225,1
2567,17,22,9,0,368,757,36,135,57,2449,1
2568,18,33,8,1,476,753,36,73,47,3837,1
2569,10,17,10,0,290,626,36,112,61,3854,0
2570,18,39,9,0,543,997,24,78,45,1589,0
2571,11,48,2,1,549,932,55,143,62,2766,0
2572,15,16,1,0,242,714,69,83,48,1418,1
2573,3,33,7,0,394,762,62,111,74,1205,1
2574,13,44,4,0,533,699,77,117,51,3283,1
2575,19,27,8,0,421,985,41,141,60,3382,0
2576,1,50,6,1,547,740,62,36,56,3665,0
2577,9,36,1,0,412,600,67,73,58,3057,1
2578,1,35,3,0,376,774,70,139,46,2714,1
2579,11,44,5,1,530,790,5,122,63,1810,0
2580,2,30,6,0,352,599,28,138,78,3173,1
2581,0,12,5,0,155,603,11,101,58,2339,1
2582,6,13,10,0,230,923,9,142,53,1361,0
2583,16,18,2,0,274,939,96,114,74,1231,1
2584,18,6,8,0,206,784,32,117,59,3502,1
2585,15,40,4,1,503,762,58,118,51,3325,1
2586,11,30,10,0,425,696,10,32,79,2694,1
2587,5,34,10,0,435,871,52,77,72,3425,1
2588,1,20,9,0,268,508,25,101,71,3343,1
2589,20,12,6,0,262,785,10,73,36,2471,1
2590,12,49,7,1,599,688,73,118,39,1885,1
2591,12,10,8,0,216,714,68,59,44,1736,0
2592,7,9,9,0,188,506,28,113,70,3088,1
2593,13,20,2,0,279,607,7,77,61,2677,0
2594,0,6,6,0,102,899,31,133,38,1810,0
2595,20,38,3,1,501,947,8,109,44,2852,1
2596,20,5,6,0,192,893,13,33,67,3873,1
2597,14,35,7,1,469,608,90,71,47,1378,1
2598,6,12,2,0,164,915,52,115,53,2005,0
2599,9,20,9,0,308,626,53,132,79,2711,0
2600,8,16,1,0,207,699,78,146,41,1683,0
2601,7,18,9,0,278,859,26,71,59,2923,0
2602,11,35,5,0,440,824,87,44,76,2094,0
2603,12,38,6,1,482,581,93,56,64,3950,1
2604,10,14,3,0,211,595,62,140,78,3218,1
2605,8,43,8,0,526,586,92,128,55,3382,1
2606,12,42,4,1,508,869,78,108,70,1775,1
2607,10,19,10,0,310,673,89,109,53,2558,0
2608,18,36,3,1,471,551,68,71,66,1574,1
2609,15,49,1,1,572,510,22,130,51,3738,1
2610,20,9,10,0,260,649,0,103,44,1377,1
2611,20,36,8,1,516,865,4,101,76,1851,1
2612,20,24,2,0,354,575,21,112,77,3275,0
2613,7,11,8,0,201,611,74,73,72,1916,0
2614,15,10,7,0,224,619,28,79,54,2554,1
2615,5,35,7,0,424,918,30,91,47,3047,0
2616,9,16,9,0,268,939,92,146,76,2231,0
2617,15,40,6,1,517,831,15,104,67,2777,1
2618,19,28,5,0,410,596,30,68,72,2982,1
2619,0,37,7,0,419,690,92,60,76,3629,0
2620,18,43,9,1,583,635,90,70,62,2749,1
2621,5,24,5,0,300,791,41,68,44,3080,0
2622,19,21,2,0,319,982,46,97,62,3192,1
2623,17,40,2,1,499,987,98,120,48,2737,0
2624,6,44,1,1,477,683,1,53,71,1691,0
2625,10,13,9,0,243,967,91,110,42,1265,0
2626,19,47,3,1,586,995,98,89,61,2880,1
2627,19,19,7,0,334,516,1,124,78,1803,0
2628,13,43,8,1,551,559,47,138,36,2190,1
2629,13,34,7,1,454,789,64,30,51,3955,0
2630,2,19,3,0,221,651,82,31,41,2483,1
2631,20,17,3,1,291,928,25,130,39,2865,0
2632,18,12,10,0,280,937,22,75,48,2297,0
2633,8,45,2,1,504,608,10,73,58,1351,1
2634,2,27,3,0,301,673,33,47,77,2519,1
2635,13,6,8,0,181,766,82,50,67,3833,0
2636,11,9,5,0,180,880,24,51,52,3294,0
2637,0,23,5,0,265,698,75,49,39,3769,1
2638,12,13,8,0,246,926,48,80,37,1927,0
2639,1,50,1,1,512,975,71,123,60,1858,1
2640,17,10,1,0,192,747,84,140,53,1566,0
2641,19,22,1,0,322,527,45,93,48,3340,1
2642,15,21,7,0,334,793,69,112,37,3844,0
2643,13,45,9,1,578,886,10,94,60,2012,1
2644,12,25,10,0,380,689,30,137,75,2839,1
2645,15,48,9,1,618,768,45,73,60,3116,1
2646,12,35,8,1,466,626,63,92,70,1305,0
2647,3,8,4,0,123,825,61,109,44,3032,1
2648,20,40,10,0,570,960,12,120,66,3433,1
2649,8,32,6,0,402,714,72,51,63,3370,0
2650,15,46,5,1,570,596,46,98,55,2037,0
2651,1,48,9,1,548,632,59,103,61,2679,1
2652,14,34,9,1,473,638,88,128,69,3405,0
2653,1,24,6,0,287,960,18,67,61,1410,0
2654,9,20,6,0,287,955,39,101,60,1533,1
2655,0,10,5,0,135,754,62,114,36,1483,0
2656,18,24,3,0,351,774,51,83,74,3175,1
2657,11,43,2,1,499,589,59,77,54,3723,0
2658,14,46,7,1,579,502,19,42,53,3383,1
2659,12,42,8,1,536,575,5,95,59,3539,0
2660,7,30,1,0,342,590,5,103,43,1815,0
2661,17,21,4,0,323,635,44,42,59,2021,1
2662,0,15,1,0,157,600,76,63,46,3277,1
2663,16,25,10,0,400,517,17,58,68,2908,0
2664,2,41,10,0,490,706,69,107,69,3144,1
2665,19,41,8,1,561,714,69,49,37,3693,1
2666,2,37,3,0,401,697,86,74,73,2319,1
2667,4,40,8,1,476,688,90,92,36,1850,0
2668,4,17,2,0,204,795,67,70,53,1275,1
2669,14,44,4,1,538,709,100,45,70,2328,1
2670,14,40,7,1,519,978,55,86,49,3412,0
2671,5,33,6,0,397,596,38,104,79,3603,1
2672,13,34,4,0,433,931,95,122,70,1336,1
2673,1,30,9,0,368,917,23,69,61,1437,0
2674,6,50,5,1,565,918,100,70,60,3880,1
2675,6,40,5,1,465,647,29,67,79,2741,0
2676,17,27,8,0,411,630,90,78,50,2220,0
2677,1,35,10,0,425,716,38,140,55,1254,0
2678,1,38,7,0,434,713,93,118,46,2588,0
2679,9,16,3,0,226,921,85,95,58,2843,0
2680,14,33,7,0,449,982,69,137,61,2650,1
2681,2,19,1,0,207,544,8,35,57,3404,1
2682,17,18,4,0,293,916,93,92,39,1757,0
2683,20,23,7,0,379,512,16,141,43,1906,1
2684,19,46,4,1,583,567,29,98,61,2299,0
2685,20,28,10,0,450,987,48,150,63,2186,1
2686,12,23,6,0,332,763,28,149,36,2445,1
2687,0,25,9,0,313,752,38,48,71,2941,1
2688,17,5,8,0,191,801,94,74,65,1961,0
2689,5,35,7,0,424,688,74,37,49,2636,0
2690,3,23,7,0,294,953,72,44,51,3176,0
2691,17,46,9,1,608,642,21,60,44,1366,1
2692,13,45,6,1,557,806,46,102,79,1821,0
2693,16,46,9,1,603,614,50,113,51,2586,1
2694,20,6,4,0,188,919,100,73,36,2709,0
2695,10,22,6,0,312,549,5,46,64,2927,1
2696,18,29,8,0,436,703,77,86,51,1659,1
2697,9,34,4,0,413,582,44,53,40,2998,0
2698,14,33,6,0,442,680,2,65,56,2695,0
2699,17,24,2,0,339,913,68,66,45,2285,0
2700,19,49,5,1,620,993,39,66,50,1482,0
2701,5,28,2,0,319,637,48,114,41,2740,0
2702,3,17,7,0,234,671,15,137,48,3209,0
2703,19,25,4,0,373,963,55,72,64,1798,1
2704,8,45,9,1,553,759,15,57,64,3774,0
2705,7,5,10,0,155,871,76,58,40,2594,0
2706,18,28,4,0,398,643,43,31,62,1789,1
2707,17,8,10,0,235,905,35,65,60,1977,1
2708,1,15,1,0,162,880,86,118,68,3179,0
2709,12,29,4,0,378,920,29,102,51,1941,1
2710,3,22,7,0,284,737,66,89,73,3219,1
2711,16,44,5,1,555,711,96,94,62,2693,1
2712,1,6,2,0,79,580,12,121,42,1805,1
2713,1,49,9,0,558,755,96,150,49,3421,0
2714,8,29,9,0,393,654,87,83,51,3160,1
2715,20,18,4,0,308,666,99,143,53,1432,1
2716,1,42,4,0,453,786,25,33,70,3264,1
2717,6,46,7,1,539,765,47,104,67,3757,1
2718,17,43,4,1,543,619,22,83,36,1945,0
2719,1,41,9,0,478,729,25,57,54,3634,0
2720,2,18,4,0,218,586,13,65,37,2422,0
2721,8,20,3,0,261,504,25,129,46,2411,0
2722,16,42,7,0,549,998,28,122,46,3160,0
2723,20,38,8,1,536,758,96,140,71,1215,0
2724,16,21,7,0,339,518,73,134,69,3718,1
2725,19,13,8,0,281,932,9,34,68,1484,1
2726,11,29,1,0,352,777,74,69,77,1786,1
2727,11,47,1,1,532,561,55,130,51,2919,1
2728,17,16,10,0,315,891,27,77,67,1320,0
2729,17,18,3,0,286,768,27,55,75,1578,1
2730,11,36,6,1,457,867,4,57,44,3747,1
2731,9,25,6,0,337,942,88,53,36,3700,0
2732,4,39,5,0,445,695,98,88,78,3433,0
2733,11,23,7,0,334,588,97,122,41,3548,0
2734,11,6,10,0,185,797,3,44,75,3164,1
2735,17,6,7,0,194,582,21,145,66,3297,0
2736,20,48,5,1,615,756,72,108,66,3513,0
2737,12,23,2,0,304,947,36,138,40,1419,1
2738,12,33,6,1,432,808,28,48,53,1401,0
2739,11,38,10,1,505,596,28,96,56,2501,1
2740,4,30,7,0,369,600,7,109,70,2095,0
2741,18,17,3,0,281,529,43,60,62,2095,0
2742,8,20,3,0,261,939,82,68,36,2226,1
2743,1,47,5,1,510,783,88,85,69,1381,1
2744,14,39,5,1,495,809,100,100,58,3984,1
2745,20,16,8,0,316,579,80,141,36,1334,0
2746,6,6,8,0,146,723,35,138,69,1749,1
2747,10,43,6,1,522,511,83,44,45,2238,1
2748,18,36,10,1,520,627,66,139,44,3411,0
2749,18,25,3,0,361,891,0,87,61,2819,0
2750,5,17,3,1,216,981,71,123,76,3030,0
2751,2,19,5,0,235,576,14,115,75,1626,0
2752,12,35,8,0,466,641,89,85,49,3008,0
2753,0,46,5,1,495,657,6,35,59,1274,1
2754,17,8,2,0,179,954,20,131,46,3712,0
2755,4,29,2,0,324,983,3,91,49,1687,1
2756,11,36,4,0,443,973,10,61,43,2242,1
2757,14,35,9,1,483,587,75,107,49,2476,1
2758,19,13,2,0,239,671,38,111,62,3021,1
2759,8,12,1,0,167,844,20,68,49,2828,1
2760,16,8,4,0,188,711,45,30,55,3236,0
2761,17,49,10,1,645,524,30,116,66,2665,0
2762,10,38,10,0,500,846,13,134,54,2292,0
2763,0,34,1,0,347,519,74,81,41,1928,0
2764,8,39,5,1,465,670,78,48,49,2785,1
2765,16,18,3,0,281,713,7,35,62,1946,0
2766,18,15,7,0,289,861,90,39,49,1319,0
2767,10,23,7,0,329,674,96,50,46,3505,1
2768,4,41,10,0,500,916,18,61,44,1943,1
2769,17,17,9,0,318,551,49,93,79,2023,0
2770,17,15,7,0,284,688,80,58,52,2431,0
2771,3,34,2,0,369,616,51,90,57,1612,0
2772,9,35,2,0,409,538,22,143,55,2270,1
2773,15,39,2,1,479,771,11,133,43,3902,0
2774,13,28,10,0,415,903,37,61,51,1299,1
2775,17,14,10,0,295,842,88,143,56,2940,0
2776,13,39,6,1,497,535,100,145,48,1560,1
2777,7,26,5,0,330,889,85,117,52,2704,0
2778,12,20,3,0,281,677,58,31,37,2570,1
2779,16,40,8,1,536,505,22,127,39,3045,1
2780,7,10,6,0,177,655,99,84,39,2878,1
2781,0,42,10,1,490,699,44,119,71,2675,0
2782,4,22,1,0,247,858,94,90,48,2070,1
2783,18,15,8,0,296,933,78,31,65,1623,0
2784,9,37,7,1,464,956,70,150,47,3835,1
2785,15,35,4,1,453,632,98,74,57,3965,0
2786,15,20,3,0,296,893,44,65,79,1825,1
2787,15,21,7,0,334,884,99,90,40,1476,0
2788,4,49,6,1,552,502,83,127,37,3004,0
2789,19,13,2,0,239,702,20,113,75,3237,1
2790,6,46,5,1,525,538,11,43,51,2503,1
2791,13,15,9,0,278,705,89,38,44,1665,1
2792,17,19,5,0,310,503,29,46,55,3603,0
2793,13,39,6,1,497,816,74,121,64,3184,0
2794,12,40,10,1,530,976,34,36,60,3714,0
2795,17,6,4,0,173,771,71,113,52,1848,1
2796,10,41,2,1,474,502,0,92,59,1237,0
2797,10,50,3,1,571,778,78,73,61,3943,1
2798,4,16,3,0,201,808,1,131,68,2671,0
2799,11,23,9,0,348,919,89,125,60,2520,1
2800,2,48,1,1,497,787,35,99,75,3239,0
2801,6,41,5,1,475,669,1,96,65,1415,1
2802,7,34,10,0,445,890,36,71,70,1990,1
2803,19,33,1,0,432,614,64,73,68,2574,1
2804,2,29,1,0,307,939,53,76,58,1380,0
2805,20,6,7,1,209,997,77,30,59,3172,1
2806,11,33,10,1,455,953,55,114,44,3813,1
2807,15,12,4,1,223,883,70,97,57,2583,1
2808,18,19,1,1,287,576,33,150,45,1772,1
2809,2,48,9,1,553,967,73,76,57,1974,1
2810,16,32,3,0,421,978,70,42,62,3314,0
2811,10,12,3,0,191,993,63,50,62,2398,1
2812,11,15,9,0,268,510,3,99,71,2919,0
2813,4,50,4,1,548,697,32,96,80,1953,0
2814,15,5,9,0,188,835,47,98,40,3758,1
2815,13,8,7,0,194,609,11,127,74,3663,0
2816,13,14,5,0,240,815,4,113,69,2744,0
2817,1,32,5,0,360,879,86,39,52,1219,1
2818,17,12,6,0,247,987,79,119,62,1370,0
2819,12,28,5,0,375,666,55,123,63,2335,0
2820,20,30,5,0,435,540,57,69,53,2097,1
2821,11,17,9,0,288,580,75,117,55,2573,1
2822,7,45,9,1,548,863,68,150,74,3543,0
2823,12,27,2,0,344,532,36,122,39,3664,0
2824,16,36,3,1,461,800,48,78,68,1592,0
2825,15,37,5,1,480,578,87,141,40,3255,0
2826,12,47,6,1,572,613,63,134,46,3149,1
2827,12,28,5,0,375,600,2,107,79,2410,1
2828,17,45,5,1,570,549,56,137,77,3981,0
2829,20,37,6,1,512,941,54,110,71,3502,1
2830,2,42,4,1,458,578,28,137,41,3343,1
2831,18,19,4,0,308,798,12,125,48,3545,0
2832,12,31,4,0,398,805,82,145,43,3517,0
2833,9,11,2,1,169,529,75,106,43,3307,1
2834,11,8,6,0,177,949,79,132,44,3407,0
2835,18,30,9,1,453,765,25,137,36,3838,1
2836,16,21,4,0,318,656,1,119,37,3276,0
2837,4,33,7,1,399,595,62,57,77,2076,0
2838,0,36,6,0,402,803,96,75,39,3493,0
2839,11,8,6,0,177,500,15,85,40,3427,1
2840,19,26,9,0,418,829,16,37,50,3517,0
2841,16,43,9,1,573,692,34,96,39,2333,1
2842,3,43,4,1,473,831,39,47,45,2719,1
2843,13,17,9,0,298,720,14,107,57,3284,0
2844,19,17,10,0,335,827,9,130,43,3057,0
2845,0,14,6,0,182,507,42,143,56,1386,1
2846,20,7,10,0,240,772,2,130,56,1728,1
2847,13,10,1,1,172,509,32,31,40,1248,0
2848,9,36,3,0,426,584,95,128,41,2359,0
2849,16,7,1,0,157,792,50,132,61,3510,0
2850,6,42,6,1,492,731,19,102,64,3480,1
2851,19,42,8,1,571,650,53,38,54,2117,1
2852,12,9,2,0,164,900,14,141,78,1353,1
2853,18,18,5,1,305,592,48,145,37,3000,1
2854,3,30,5,0,350,969,59,78,65,1341,1
2855,12,27,1,0,337,962,31,114,76,2892,0
2856,3,29,5,0,340,772,9,67,71,1585,1
2857,10,18,8,0,286,959,66,43,53,1890,1
2858,12,44,7,1,549,972,27,66,45,1389,1
2859,12,15,7,0,259,591,16,65,59,1240,1
2860,4,39,9,1,473,699,43,126,67,3567,1
2861,17,11,8,0,251,608,32,118,50,1315,1
2862,6,8,6,0,152,973,89,136,39,3340,1
2863,10,9,6,0,182,740,11,144,61,1301,0
2864,10,46,7,1,559,683,45,43,50,3370,0
2865,15,50,2,1,589,705,94,32,76,1531,1
2866,13,13,1,0,202,795,70,101,50,1658,0
2867,17,17,4,0,283,622,49,119,55,3756,1
2868,18,47,10,1,630,922,84,45,75,1953,1
2869,10,39,7,1,489,857,85,124,46,2928,1
2870,1,7,9,0,138,679,62,87,66,3216,0
2871,6,31,10,0,410,586,62,139,69,3844,0
2872,5,23,7,0,304,732,25,70,59,1549,1
2873,3,44,1,1,462,535,38,109,55,2111,1
2874,9,16,2,0,219,876,93,52,52,2382,0
2875,18,40,1,1,497,685,35,32,57,3001,1
2876,2,37,6,0,422,592,81,101,69,3448,1
2877,11,37,7,1,474,607,27,88,44,1836,0
2878,7,25,2,0,299,785,22,142,48,1672,0
2879,15,47,6,1,587,955,64,94,42,3768,0
2880,17,29,5,0,410,705,32,92,62,2994,0
2881,17,5,10,0,205,953,24,108,57,3870,1
2882,2,23,2,0,254,640,36,94,77,1939,1
2883,17,38,10,1,535,936,0,54,56,2071,0
2884,4,26,6,0,322,560,91,129,60,2680,1
2885,12,34,8,1,456,758,9,68,60,2626,1
2886,0,31,2,0,324,960,89,117,64,1251,0
2887,3,10,9,0,178,740,46,96,73,2389,1
2888,19,34,10,1,505,986,37,36,63,1966,0
2889,8,39,2,0,444,962,28,127,38,3987,1
2890,8,39,7,1,479,927,21,55,80,2203,0
2891,11,16,8,0,271,760,70,71,67,1875,1
2892,4,9,7,0,159,673,41,36,76,3547,1
2893,19,13,3,0,246,979,71,48,45,3010,0
2894,10,44,1,1,497,730,28,126,76,1504,1
2895,1,24,3,0,266,987,75,110,52,2464,1
2896,19,23,4,0,353,842,47,33,38,2810,0
2897,10,9,7,0,189,519,40,98,42,3718,0
2898,1,5,3,0,76,773,69,102,57,1523,1
2899,16,25,7,0,379,554,67,149,77,2570,1
2900,19,45,5,1,580,537,74,44,65,3862,1
2901,6,12,6,0,192,625,60,59,55,3855,1
2902,6,22,1,0,257,512,42,100,64,2111,0
2903,4,45,4,1,498,522,47,101,79,1228,1
2904,3,15,9,1,228,861,31,43,56,1236,0
2905,12,23,4,0,318,793,1,40,73,3428,1
2906,9,42,7,1,514,546,11,53,36,2868,0
2907,5,16,7,0,234,522,87,71,74,2304,0
2908,15,10,5,0,210,952,82,141,53,2146,1
2909,8,34,4,0,408,677,50,86,80,3176,1
2910,14,15,8,0,276,539,89,55,39,2572,1
2911,10,11,3,0,181,521,73,70,80,2491,0
2912,19,19,4,0,313,578,33,141,38,1804,0
2913,6,36,4,0,418,703,27,72,46,2637,1
2914,15,11,10,0,255,949,23,78,72,2587,1
2915,14,50,1,1,577,892,29,116,74,1945,0
2916,6,22,10,0,320,572,0,111,53,2057,0
2917,11,19,10,0,315,700,75,147,46,1946,1
2918,8,35,4,0,418,671,72,83,71,3503,1
2919,3,50,5,1,550,798,38,100,66,1810,1
2920,5,20,6,1,267,600,14,111,80,3498,0
2921,6,17,7,0,249,724,36,145,55,1646,1
2922,12,24,6,0,342,950,70,137,37,2078,0
2923,8,6,3,0,121,808,40,113,61,3494,1
2924,5,16,10,0,255,790,89,79,50,3607,0
2925,17,26,1,1,352,676,95,43,58,2643,0
2926,2,17,1,0,187,787,91,108,55,1882,0
2927,3,44,7,1,504,706,11,116,64,2096,0
2928,16,22,1,0,307,934,3,120,73,3216,1
2929,19,24,10,0,405,664,21,85,49,3231,1
2930,8,35,5,0,425,568,85,89,65,2598,1
2931,4,17,4,1,218,788,66,136,73,2038,1
2932,8,48,1,1,527,932,72,150,48,3620,0
2933,17,45,9,0,598,648,46,111,76,2840,1
2934,9,23,9,0,338,822,14,111,45,3666,0
2935,4,21,6,0,272,653,11,50,40,2393,1
2936,5,35,8,0,431,744,78,108,69,3293,1
2937,0,23,5,0,265,535,69,113,63,2523,0
2938,17,44,8,1,581,675,15,129,52,2149,1
2939,13,10,10,0,235,821,41,30,56,1216,1
2940,8,47,2,1,524,949,63,144,50,2778,1
2941,0,47,9,1,533,618,78,125,71,2779,0
2942,11,45,6,1,547,599,13,62,60,3292,1
2943,14,13,10,0,270,993,65,116,37,3512,1
2944,15,32,1,0,402,983,83,107,52,3586,0
2945,8,33,5,1,405,944,91,80,41,2172,1
2946,13,9,8,0,211,660,84,66,36,3328,0
2947,13,23,2,0,309,791,59,107,74,2085,0
2948,5,7,9,0,158,556,90,90,51,2603,1
2949,10,31,7,1,409,621,48,55,44,3493,1
2950,14,44,3,1,531,862,3,100,79,1553,0
2951,20,19,6,0,332,636,35,99,60,3734,1
2952,17,8,6,1,207,569,91,75,48,3335,0
2953,18,41,9,1,563,507,25,91,57,1933,1
2954,20,7,6,0,212,609,39,71,67,3405,1
2955,20,34,8,1,496,882,80,64,66,2019,1
2956,3,50,8,1,571,714,37,75,71,2985,0
2957,13,46,1,1,532,891,30,57,49,1740,0
2958,11,7,1,0,132,628,68,41,74,1265,0
2959,12,44,1,1,507,590,12,60,53,3391,0
2960,14,34,10,1,480,589,23,56,52,2110,1
2961,2,11,4,0,148,666,89,44,65,2570,1
2962,13,46,1,0,532,886,74,135,69,1448,1
2963,4,23,2,0,264,837,58,99,58,3501,0
2964,7,45,10,1,555,631,1,37,55,1540,0
2965,20,23,8,0,386,682,84,150,68,2914,0
2966,8,35,3,0,411,843,74,142,64,1304,0
2967,16,8,6,0,202,649,87,31,53,1870,1
2968,18,47,2,1,574,600,3,44,39,3897,0
2969,0,9,2,0,104,758,2,54,68,2861,0
2970,7,13,2,0,179,714,8,31,59,2681,0
2971,7,27,6,0,347,804,12,84,37,3052,1
2972,16,14,8,0,276,794,87,51,48,1966,1
2973,3,24,9,0,318,882,26,109,36,2641,1
2974,11,9,10,0,215,767,9,86,71,2470,1
2975,13,14,3,0,226,740,13,92,49,1890,1
2976,10,25,3,1,321,982,43,103,69,1387,0
2977,19,40,4,0,523,959,23,84,49,1367,1
2978,0,6,4,0,88,692,49,139,47,1444,0
2979,1,36,5,0,400,826,53,131,70,3722,1
2980,2,25,6,0,302,655,45,93,37,2250,0
2981,19,42,7,1,564,684,29,73,75,3408,1
2982,7,45,3,1,506,723,80,49,40,3809,1
2983,4,23,10,0,320,798,29,64,70,3383,0
2984,4,39,5,0,445,552,60,99,43,2953,0
2985,17,14,5,0,260,802,39,67,36,1324,0
2986,9,27,8,0,371,503,39,108,37,2487,0
2987,16,30,5,0,415,831,35,64,50,2449,0
2988,9,41,8,1,511,676,77,113,49,3793,0
2989,12,21,6,0,312,990,66,31,67,2805,0
2990,15,42,6,1,537,767,41,45,40,2708,0
2991,13,43,8,1,551,942,9,38,42,3993,0
2992,11,10,8,0,211,736,2,50,71,3913,0
2993,7,36,4,0,423,783,36,96,56,1639,0
2994,4,25,4,0,298,539,54,60,79,3730,1
2995,7,8,2,0,129,825,31,100,75,3046,1
2996,10,7,10,0,190,850,52,40,58,2650,0
2997,19,26,3,1,376,620,8,86,38,3342,1
2998,3,5,1,0,72,651,99,38,37,3543,0
2999,13,19,9,0,318,865,34,109,62,3484,0
3000,20,6,5,0,195,857,85,118,75,3531,1
3001,13,23,6,0,337,831,86,98,39,1274,1
3002,13,12,9,0,248,925,23,142,73,1280,1
3003,14,36,2,0,444,878,72,121,60,1450,1
3004,9,24,5,0,320,884,25,119,41,2780,1
3005,5,28,9,0,368,630,53,101,70,2489,1
3006,16,13,9,0,273,836,63,80,78,2926,0
3007,16,29,7,0,419,796,87,60,60,2689,1
3008,1,44,5,0,480,726,37,92,50,2825,1
